shop_name,shop_id,city
"Адыгея ТЦ ""Мега""",2,Адыгея
"Балашиха ТРК ""Октябрь-Киномир""",3,Балашиха
"Волжский ТЦ ""Волга Молл""",4,Волжский
"Вологда ТРЦ ""Мармелад""",5,Вологда
"Воронеж (Плехановская, 13)",6,Воронеж
"Воронеж ТРЦ ""Максимир""",7,Воронеж
"Воронеж ТРЦ Сити-Парк ""Град""",8,Воронеж
Выездная Торговля,9,Выездная
Жуковский ул. Чкалова 39м²,11,Жуковский
Интернет-магазин ЧС,12,Интернет-магазин
"Казань ТЦ ""Бехетле""",13,Казань
"Казань ТЦ ""ПаркХаус"" II",14,Казань
"Калуга ТРЦ ""XXI век""",15,Калуга
"Коломна ТЦ ""Рио""",16,Коломна
"Красноярск ТЦ ""Взлетка Плаза""",17,Красноярск
"Красноярск ТЦ ""Июнь""",18,Красноярск
"Курск ТЦ ""Пушкинский""",19,Курск
"Москва ""Распродажа""",20,Москва
"Москва МТРЦ ""Афи Молл""",21,Москва
Москва Магазин С21,22,Москва
"Москва ТК ""Буденовский"" (пав.А2)",23,Москва
"Москва ТК ""Буденовский"" (пав.К7)",24,Москва
"Москва ТРК ""Атриум""",25,Москва
"Москва ТЦ ""Ареал"" (Беляево)",26,Москва
"Москва ТЦ ""МЕГА Белая Дача II""",27,Москва
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,Москва
"Москва ТЦ ""Новый век"" (Новокосино)",29,Москва
"Москва ТЦ ""Перловский""",30,Москва
"Москва ТЦ ""Семеновский""",31,Москва
"Москва ТЦ ""Серебряный Дом""",32,Москва
"Мытищи ТРК ""XL-3""",33,Мытищи
"Н.Новгород ТРЦ ""РИО""",34,Н.Новгород
"Н.Новгород ТРЦ ""Фантастика""",35,Н.Новгород
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,Новосибирск
"Новосибирск ТЦ ""Мега""",37,Новосибирск
"Омск ТЦ ""Мега""",38,Омск
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,РостовНаДону
"РостовНаДону ТЦ ""Мега""",41,РостовНаДону
"СПб ТК ""Невский Центр""",42,СПб
"СПб ТК ""Сенная""",43,СПб
"Самара ТЦ ""Мелодия""",44,Самара
"Самара ТЦ ""ПаркХаус""",45,Самара
"СергиевПосад ТЦ ""7Я""",46,СергиевПосад
"Сургут ТРЦ ""Сити Молл""",47,Сургут
"Томск ТРЦ ""Изумрудный Город""",48,Томск
"Тюмень ТРЦ ""Кристалл""",49,Тюмень
"Тюмень ТЦ ""Гудвин""",50,Тюмень
"Тюмень ТЦ ""Зеленый Берег""",51,Тюмень
"Уфа ТК ""Центральный""",52,Уфа
"Уфа ТЦ ""Семья"" 2",53,Уфа
"Химки ТЦ ""Мега""",54,Химки
Цифровой склад 1С-Онлайн,55,Цифровой
"Чехов ТРЦ ""Карнавал""",56,Чехов
"Якутск Орджоникидзе, 56",57,Якутск
"Якутск ТЦ ""Центральный""",58,Якутск
"Ярославль ТЦ ""Альтаир""",59,Ярославль
